,year,month,day,hour,bitcoin
423,2015,1,18,13,32
424,2015,1,18,14,32
425,2015,1,18,15,32
426,2015,1,18,16,36
427,2015,1,18,17,41
428,2015,1,18,18,40
429,2015,1,18,19,37
430,2015,1,18,20,33
431,2015,1,18,21,47
432,2015,1,18,22,39
433,2015,1,18,23,38
434,2015,1,19,0,47
435,2015,1,19,1,37
436,2015,1,19,2,33
437,2015,1,19,3,35
438,2015,1,19,4,33
439,2015,1,19,5,31
440,2015,1,19,6,38
441,2015,1,19,7,21
442,2015,1,19,8,39
443,2015,1,19,9,32
444,2015,1,19,10,38
445,2015,1,19,11,25
446,2015,1,19,12,29
447,2015,1,19,13,48
448,2015,1,19,14,41
449,2015,1,19,15,36
450,2015,1,19,16,34
451,2015,1,19,17,41
452,2015,1,19,18,37
453,2015,1,19,19,32
454,2015,1,19,20,50
455,2015,1,19,21,45
456,2015,1,19,22,62
457,2015,1,19,23,48
458,2015,1,20,0,22
459,2015,1,20,1,22
460,2015,1,20,2,42
461,2015,1,20,3,29
462,2015,1,20,4,28
463,2015,1,20,5,53
464,2015,1,20,6,38
465,2015,1,20,7,21
466,2015,1,20,8,37
467,2015,1,20,9,36
468,2015,1,20,10,36
469,2015,1,20,11,36
470,2015,1,20,12,36
471,2015,1,20,13,39
472,2015,1,20,14,33
473,2015,1,20,15,27
474,2015,1,20,16,46
475,2015,1,20,17,29
476,2015,1,20,18,46
477,2015,1,20,19,37
478,2015,1,20,20,42
479,2015,1,20,21,43
480,2015,1,20,22,51
481,2015,1,20,23,58
482,2015,1,21,0,30
483,2015,1,21,1,21
484,2015,1,21,2,40
485,2015,1,21,3,27
486,2015,1,21,4,33
487,2015,1,21,5,60
488,2015,1,21,6,25
489,2015,1,21,7,18
490,2015,1,21,8,39
491,2015,1,21,9,52
492,2015,1,21,10,40
493,2015,1,21,11,30
494,2015,1,21,12,33
495,2015,1,21,13,39
496,2015,1,21,14,32
497,2015,1,21,15,37
498,2015,1,21,16,42
499,2015,1,21,17,41
500,2015,1,21,18,52
501,2015,1,21,19,57
502,2015,1,21,20,43
503,2015,1,21,21,51
504,2015,1,21,22,66
505,2015,1,21,23,54
506,2015,1,22,0,63
507,2015,1,22,0,76
508,2015,1,22,1,68
509,2015,1,22,2,41
510,2015,1,22,3,41
511,2015,1,22,4,51
512,2015,1,22,5,64
513,2015,1,22,6,50
514,2015,1,22,7,70
515,2015,1,22,8,36
516,2015,1,22,9,38
517,2015,1,22,10,30
518,2015,1,22,11,38
519,2015,1,22,12,49
520,2015,1,22,13,46
521,2015,1,22,14,51
522,2015,1,22,15,45
523,2015,1,22,16,49
524,2015,1,22,17,72
525,2015,1,22,18,48
526,2015,1,22,19,52
527,2015,1,22,20,56
528,2015,1,22,21,46
529,2015,1,22,22,58
530,2015,1,22,23,42
531,2015,1,23,0,51
532,2015,1,23,1,38
533,2015,1,23,2,60
534,2015,1,23,3,63
535,2015,1,23,4,49
536,2015,1,23,5,49
537,2015,1,23,6,49
538,2015,1,23,7,48
539,2015,1,23,8,44
540,2015,1,23,9,51
541,2015,1,23,10,43
542,2015,1,23,11,55
543,2015,1,23,12,34
544,2015,1,23,13,48
545,2015,1,23,14,57
546,2015,1,23,15,61
547,2015,1,23,16,54
548,2015,1,23,17,44
549,2015,1,23,18,26
550,2015,1,23,19,44
551,2015,1,23,20,34
552,2015,1,23,21,48
553,2015,1,23,22,41
554,2015,1,23,23,52
555,2015,1,24,0,61
556,2015,1,24,1,45
557,2015,1,24,2,28
558,2015,1,24,3,64
559,2015,1,24,4,40
560,2015,1,24,5,46
561,2015,1,24,6,33
